concept,label,2021-09-25,level,abstract,dimension
us-gaap_NetIncomeLoss,Net Income,94680000000.0,1,False,False
us-gaap_ComprehensiveIncomeNetOfTaxAbstract,Other comprehensive income/(loss):,,1,False,False
us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"Change in foreign currency translation, net of tax",501000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecreaseAbstract,"Change in unrealized gains/losses on derivative instruments, net of tax:",,2,False,False
us-gaap_OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,Change in fair value of derivative instruments,,3,False,False
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,Net Income,,3,False,False
us-gaap_OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,Total change in unrealized gains/losses on derivative instruments,,3,False,False
us-gaap_OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecreaseAbstract,"Change in unrealized gains/losses on marketable debt securities, net of tax:",,2,False,False
us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,Change in fair value of marketable debt securities,-694000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,Net Income,-273000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,Total change in unrealized gains/losses on marketable debt securities,-967000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,Total other comprehensive income/(loss),569000000.0,2,False,False
us-gaap_ComprehensiveIncomeNetOfTax,Total comprehensive income,95249000000.0,1,False,False
