concept,label,2022-09-24,2021-09-25,2020-09-26,level,abstract,dimension
us-gaap_NetIncomeLoss,Net Income,99803000000.0,94680000000.0,57411000000.0,1,False,False
us-gaap_ComprehensiveIncomeNetOfTaxAbstract,Other comprehensive income/(loss):,,,,1,False,False
us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"Change in foreign currency translation, net of tax",-1511000000.0,501000000.0,88000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecreaseAbstract,"Change in unrealized gains/losses on derivative instruments, net of tax:",,,,2,False,False
us-gaap_OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecreaseAbstract,"Change in unrealized gains/losses on marketable debt securities, net of tax:",,,,2,False,False
us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,Change in fair value of marketable debt securities,-12104000000.0,-694000000.0,1202000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,Net Income,205000000.0,-273000000.0,-63000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,Total change in unrealized gains/losses on marketable debt securities,-11899000000.0,-967000000.0,1139000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,Total other comprehensive income/(loss),-11272000000.0,569000000.0,42000000.0,2,False,False
us-gaap_ComprehensiveIncomeNetOfTax,Total comprehensive income,88531000000.0,95249000000.0,57453000000.0,1,False,False
