concept,label,2023-09-30,2022-09-24,level,abstract,dimension
us-gaap_NetIncomeLoss,Net Income,96995000000.0,99803000000.0,1,False,False
us-gaap_ComprehensiveIncomeNetOfTaxAbstract,Other comprehensive income/(loss):,,,1,False,False
us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"Change in foreign currency translation, net of tax",-765000000.0,-1511000000.0,2,False,False
us-gaap_OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecreaseAbstract,"Change in unrealized gains/losses on derivative instruments, net of tax:",,,2,False,False
us-gaap_OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecreaseAbstract,"Change in unrealized gains/losses on marketable debt securities, net of tax:",,,2,False,False
us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,Change in fair value of marketable debt securities,1563000000.0,-12104000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,Net Income,253000000.0,205000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,Total change in unrealized gains/losses on marketable debt securities,1816000000.0,-11899000000.0,3,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,Total other comprehensive income/(loss),-343000000.0,-11272000000.0,2,False,False
us-gaap_ComprehensiveIncomeNetOfTax,Total comprehensive income,96652000000.0,88531000000.0,1,False,False
