concept,label,2023-12-31,2022-12-31,level,abstract,dimension
us-gaap_IncreaseDecreaseInStockholdersEquityRollForward,Increase (Decrease) in Stockholders' Equity [Roll Forward],,,3,False,False
us-gaap_SharesIssued,Ending Balance (in shares),,,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,,,4,False,False
us-gaap_StockIssuedDuringPeriodSharesNewIssues,Common and capital stock issued (in shares),139000000.0,137000000.0,4,False,False
us-gaap_StockIssuedDuringPeriodValueNewIssues,Stock issued (in shares),,8000000.0,4,False,False
us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,Stock-based compensation expense,22578000000.0,19525000000.0,4,False,False
us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,Repurchases of stock (in shares),528000000.0,530000000.0,4,False,False
us-gaap_StockRepurchasedAndRetiredDuringPeriodValue,Repurchases of stock,62184000000.0,59296000000.0,4,False,False
us-gaap_NoncontrollingInterestIncreaseFromSaleOfParentEquityInterest,Sale of interest in consolidated entities,,35000000.0,4,False,False
us-gaap_NetIncomeLoss,Net Income,73795000000.0,59972000000.0,4,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTax,Other comprehensive income (loss),3201000000.0,-5980000000.0,4,False,False
us-gaap_SharesIssued,Ending Balance (in shares),,,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,,,4,False,False
