concept,label,2019-12-31,level,abstract,dimension
us-gaap_StatementLineItems,Statement,,2,False,False
us-gaap_IncreaseDecreaseInStockholdersEquityRollForward,Increase (Decrease) in Stockholders' Equity [Roll Forward],,3,False,False
us-gaap_CommonStockSharesOutstanding,Common Stock Shares Outstanding,,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,,4,False,False
us-gaap_StockIssuedDuringPeriodSharesAcquisitions,"Issuance of common stock related to acquisitions, shares",,4,False,False
us-gaap_StockIssuedDuringPeriodValueAcquisitions,"Issuance of common stock related to acquisitions, value",,4,False,False
us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,"Issuance of common stock for cash upon exercise of stock options, shares",1137000.0,4,False,False
us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,"Issuance of common stock for cash upon exercise of stock options, value",15000000.0,4,False,False
us-gaap_SharesPaidForTaxWithholdingForShareBasedCompensation,"Shares withheld related to net share settlement, shares",13000000.0,4,False,False
us-gaap_AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,"Shares withheld related to net share settlement, value",2581000000.0,4,False,False
us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"Share-based compensation, related to employee share-based awards",4836000000.0,4,False,False
us-gaap_StockRepurchasedDuringPeriodShares,"Share repurchases, shares",22000000.0,4,False,False
us-gaap_StockRepurchasedDuringPeriodValue,"Share repurchases, value",4099000000.0,4,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,Other comprehensive income (loss),271000000.0,4,False,False
us-gaap_NetIncomeLoss,Net Income,18485000000.0,4,False,False
us-gaap_CommonStockSharesOutstanding,Common Stock Shares Outstanding,,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,,4,False,False
