concept,label,2021-12-31,2020-12-31,level,abstract,dimension
us-gaap_AssetsAbstract,Assets,,,1,False,False
us-gaap_AssetsCurrentAbstract,Current assets:,,,2,False,False
us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and Cash Equivalents,16601000000.0,17576000000.0,3,False,False
us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent,Current Marketable Securities,31397000000.0,44378000000.0,3,False,False
us-gaap_AccountsReceivableNetCurrent,Accounts Receivable,14039000000.0,11335000000.0,3,False,False
us-gaap_PrepaidExpenseAndOtherAssetsCurrent,Prepaid Expenses,4629000000.0,2381000000.0,3,False,False
us-gaap_AssetsCurrent,Total Current Assets,66666000000.0,75670000000.0,3,False,False
us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,"Property and equipment, net",57809000000.0,45633000000.0,2,False,False
us-gaap_OperatingLeaseRightOfUseAsset,Operating lease right-of-use assets,12155000000.0,9348000000.0,2,False,False
us-gaap_IntangibleAssetsNetExcludingGoodwill,Intangible Assets,634000000.0,623000000.0,2,False,False
us-gaap_Goodwill,Goodwill,19197000000.0,19050000000.0,2,False,False
us-gaap_OtherAssetsNoncurrent,Other Assets,2751000000.0,2758000000.0,2,False,False
us-gaap_Assets,Total Assets,165987000000.0,159316000000.0,2,False,False
us-gaap_LiabilitiesAndStockholdersEquityAbstract,Total Stockholders' Equity,,,1,False,False
us-gaap_LiabilitiesCurrentAbstract,Current liabilities:,,,2,False,False
us-gaap_AccountsPayableTradeCurrent,Accounts Payable,4083000000.0,1331000000.0,3,False,False
us-gaap_AccountsPayableOtherCurrent,Partners payable,1052000000.0,1093000000.0,3,False,False
us-gaap_OperatingLeaseLiabilityCurrent,"Operating lease liabilities, current",1127000000.0,1023000000.0,3,False,False
us-gaap_AccruedLiabilitiesCurrent,Accrued Liabilities,14312000000.0,11152000000.0,3,False,False
us-gaap_LiabilitiesCurrent,Total Current Liabilities,21135000000.0,14981000000.0,3,False,False
us-gaap_OperatingLeaseLiabilityNoncurrent,"Operating lease liabilities, non-current",12746000000.0,9631000000.0,2,False,False
us-gaap_OtherLiabilitiesNoncurrent,Other Liabilities,7227000000.0,6414000000.0,2,False,False
us-gaap_Liabilities,Total Liabilities,41108000000.0,31026000000.0,2,False,False
us-gaap_CommitmentsAndContingencies,Commitments and contingencies,,,2,False,False
us-gaap_StockholdersEquityAbstract,Total Stockholders' Equity,,,2,False,False
us-gaap_CommonStockValue,Common Stock,0.0,0.0,3,False,False
us-gaap_AdditionalPaidInCapital,Additional paid-in capital,55811000000.0,50018000000.0,3,False,False
us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,Accumulated Other Comprehensive Income/Loss,-693000000.0,927000000.0,3,False,False
us-gaap_RetainedEarningsAccumulatedDeficit,Retained Earnings,69761000000.0,77345000000.0,3,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,124879000000.0,128290000000.0,3,False,False
us-gaap_LiabilitiesAndStockholdersEquity,Total Liabilities and Stockholders' Equity,165987000000.0,159316000000.0,2,False,False
