concept,label,2021-12-31,2020-12-31,level,abstract,dimension
us-gaap_StatementLineItems,Statement,,,2,False,False
us-gaap_IncreaseDecreaseInStockholdersEquityRollForward,Increase (Decrease) in Stockholders' Equity [Roll Forward],,,3,False,False
us-gaap_CommonStockSharesOutstanding,Common Stock Shares Outstanding,,,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,,,4,False,False
us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,Issuance of common stock for cash upon exercise of stock options (in shares),,,4,False,False
us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,Issuance of common stock for cash upon exercise of stock options,,,4,False,False
us-gaap_SharesPaidForTaxWithholdingForShareBasedCompensation,Shares withheld related to net share settlement and other (in shares),17000000.0,14000000.0,4,False,False
us-gaap_AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,Shares withheld related to net share settlement and other,5515000000.0,3564000000.0,4,False,False
us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,Share-based compensation,9164000000.0,6536000000.0,4,False,False
us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,Share repurchases (in shares),136000000.0,27000000.0,4,False,False
us-gaap_StockRepurchasedAndRetiredDuringPeriodValue,Share repurchases,44810000000.0,6298000000.0,4,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,Other comprehensive income (loss),-1620000000.0,1416000000.0,4,False,False
us-gaap_NetIncomeLoss,Net Income,39370000000.0,29146000000.0,4,False,False
us-gaap_CommonStockSharesOutstanding,Common Stock Shares Outstanding,,,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,,,4,False,False
