concept,label,2023-12-31,2022-12-31,level,abstract,dimension
us-gaap_AssetsAbstract,Assets,,,1,False,False
us-gaap_AssetsCurrentAbstract,Current assets:,,,2,False,False
us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and Cash Equivalents,41862000000.0,14681000000.0,3,False,False
us-gaap_MarketableSecuritiesCurrent,Current Marketable Securities,23541000000.0,26057000000.0,3,False,False
us-gaap_AccountsReceivableNetCurrent,Accounts Receivable,16169000000.0,13466000000.0,3,False,False
us-gaap_PrepaidExpenseAndOtherAssetsCurrent,Prepaid Expenses,3793000000.0,5345000000.0,3,False,False
us-gaap_AssetsCurrent,Total Current Assets,85365000000.0,59549000000.0,3,False,False
us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,"Property and equipment, net",96587000000.0,79518000000.0,2,False,False
us-gaap_OperatingLeaseRightOfUseAsset,Operating lease right-of-use assets,13294000000.0,12673000000.0,2,False,False
us-gaap_IntangibleAssetsNetExcludingGoodwill,Intangible Assets,788000000.0,897000000.0,2,False,False
us-gaap_Goodwill,Goodwill,20654000000.0,20306000000.0,2,False,False
us-gaap_OtherAssetsNoncurrent,Other Assets,6794000000.0,6583000000.0,2,False,False
us-gaap_Assets,Total Assets,229623000000.0,185727000000.0,2,False,False
us-gaap_LiabilitiesAndStockholdersEquityAbstract,Total Stockholders' Equity,,,1,False,False
us-gaap_LiabilitiesCurrentAbstract,Current liabilities:,,,2,False,False
us-gaap_AccountsPayableTradeCurrent,Accounts Payable,4849000000.0,4990000000.0,3,False,False
us-gaap_AccountsPayableOtherCurrent,Partners payable,863000000.0,1117000000.0,3,False,False
us-gaap_OperatingLeaseLiabilityCurrent,"Operating lease liabilities, current",1623000000.0,1367000000.0,3,False,False
us-gaap_AccruedLiabilitiesCurrent,Accrued Liabilities,24625000000.0,19552000000.0,3,False,False
us-gaap_LiabilitiesCurrent,Total Current Liabilities,31960000000.0,27026000000.0,3,False,False
us-gaap_OperatingLeaseLiabilityNoncurrent,"Operating lease liabilities, non-current",17226000000.0,15301000000.0,2,False,False
us-gaap_LongTermDebtNoncurrent,Long-Term Debt,18385000000.0,9923000000.0,2,False,False
us-gaap_OtherLiabilitiesNoncurrent,Other Liabilities,8884000000.0,7764000000.0,2,False,False
us-gaap_Liabilities,Total Liabilities,76455000000.0,60014000000.0,2,False,False
us-gaap_CommitmentsAndContingencies,Commitments and contingencies,,,2,False,False
us-gaap_StockholdersEquityAbstract,Total Stockholders' Equity,,,2,False,False
us-gaap_CommonStockValue,Common Stock,0.0,0.0,3,False,False
us-gaap_AdditionalPaidInCapital,Additional paid-in capital,73253000000.0,64444000000.0,3,False,False
us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,Accumulated Other Comprehensive Income/Loss,-2155000000.0,-3530000000.0,3,False,False
us-gaap_RetainedEarningsAccumulatedDeficit,Retained Earnings,82070000000.0,64799000000.0,3,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,153168000000.0,125713000000.0,3,False,False
us-gaap_LiabilitiesAndStockholdersEquity,Total Liabilities and Stockholders' Equity,229623000000.0,185727000000.0,2,False,False
